SCN5A	CBL
VAV2	CBL
NCK1	CBL
SHC1	CBL
INPPL1	CBL
SLA	CBL
PTK2B	CBL
UBE2G1	CBL
POLA1	SERPINA3
LCP2	CBL
CRKL	CBL
SPRY2	CBL
KHDRBS1	CBL
EPHB6	CBL
UBE2D2	CBL
UBE2G2	CBL
PIK3R2	CBL
CD151	ITGA3
UBE2L3	CBL
CTRC	SERPINA3
CD2AP	CBL
CD151	ITGB1
SORBS1	CBL
SLA2	CBL
PTPN22	CBL
SHC1	CD81
FRS2	CBL
EIF5B	CBL
SMAD5	SNRPA
DNAJC1	SERPINA3
CDKL2	CBL
UBASH3B	CBL
PGGT1B	RHOB
PDE6D	RHOB
ARHGDIG	RHOB
RHPN2	RHOB
ARHGEF3	RHOB
ROCK1	RHOC
RTKN	RHOC
CIT	RHOC
ATN1	PSMA3
RHOA	RHOA
PLCG1	RHOA
KCNA2	RHOA
PRKCA	RHOA
TGM2	RHOA
FLNA	RHOA
OPHN1	RHOA
MCF2	RHOA
KTN1	RHOA
VAV2	RHOA
ATN1	GIGYF1
PKN1	RHOA
DGKQ	RHOA
PRKACA	RHOA
ROCK1	RHOA
TRIO	RHOA
ARHGDIA	RHOA
PPP1R12A	RHOA
RTKN	RHOA
CNTNAP1	RHOA
PLD1	RHOA
CTSB	SLPI
PKN2	RHOA
PDE6D	RHOA
ARHGAP1	RHOA
ARHGDIB	RHOA
ARHGDIG	RHOA
AKAP13	RHOA
RABAC1	RHOA
ARHGEF4	RHOA
VAV3	RHOA
ARHGEF12	RHOA
CTSS	SLPI
CIT	RHOA
ARHGEF11	RHOA
ICMT	RHOA
SRGAP1	RHOA
DAAM1	RHOA
RHPN2	RHOA
SH3BP1	RHOA
ARHGEF2	RHOA
DEF6	RHOA
GMIP	RHOA
CTSL1	SLPI
RAP1GDS1	RHOA
TRPC1	RHOA
CNKSR1	RHOA
ARHGEF18	RHOA
ARHGEF3	RHOA
-	RHOA
MCF2L	RHOA
-	RHOA
DOCK7	RHOA
SMAD5	PSMD11
ADRA1B	FLNC
ELANE	SLPI
RHPN1	RHOA
SPRED2	RHOA
SMAD5	U2AF2
SMAD5	SOX5
OAZ1	ODC1
OAZ2	ODC1
ACP5	SPP1
PRKCA	SPP1
MMP7	SPP1
ITGAV	SPP1
GRN	SLPI
ITGA9	SPP1
PRKG1	SPP1
SMAD5	HBG2
TTN	NBR1
CIB1	NBR1
FEZ1	NBR1
VAPA	OSBP
SMAD5	RBM4
AVP	OXTR
OXT	OXTR
KLK3	SLPI
PCSK6	PCSK6
PCSK6	PMCH
PCSK6	FLG
RB1	PAX2
MAPK8	PAX2
WT1	PAX2
PAXIP1	PAX2
SFRP2	PAX2
HIRA	PAX7
MEOX1	PAX1
PRSS2	SLPI
MEOX2	PAX1
PAX5	PAX5
MYB	PAX5
ID3	PAX5
KPNA2	PAX5
KPNA1	PAX5
DAXX	PAX5
TLE4	PAX5
SMAD5	RYR2
NKX2-1	PAX8
ATN1	SIAH1
SMAD3	PAX8
WBP2	PAX8
PAX9	KDM5B
SRF	PRRX1
GTF2I	PRRX1
MAFG	PRRX1
MAFF	PRRX1
REG3A	REG1A
CTRC	SPINK1
PLSCR1	SLPI
PRSS7	SPINK1
NRSN1	SPINK1
SMAD5	VPS24
TRHDE	REG3A
SMAD5	BCAT1
SMAD5	PPIL4
SMAD5	SNRNP70
NFX1	ELAVL4
SMAD5	WWP1
SERPINC1	SERPINC1
SPG20	ZFYVE9
PTH1R	PTH
MEP1A	PTH
PTH2R	PTH
PCNA	CCND1
RB1	CCND1
SP1	CCND1
TAF1	CCND1
AR	CCND1
IFI27	CCND1
SDC2	SERPINC1
CDKN1B	CCND1
MYBL2	CCND1
PRKACA	CCND1
NCOA3	CCND1
NCOA1	CCND1
EP300	CCND1
CDK6	CCND1
AKAP8	CCND1
GSK3B	CCND1
KLK2	SERPINC1
CCNDBP1	CCND1
KAT2B	CCND1
RBX1	CCND1
THRA	CCND1
THRB	CCND1
HDAC3	CCND1
ORC4L	CCND1
CUL3	CCND1
DMTF1	CCND1
HERC5	CCND1
PLG	SERPINC1
MCM10	CCND1
NPDC1	CCND1
BMP4	ZFYVE9
PTHLH	PTH1R
SLC9A3R1	PTH1R
SLC9A3R2	PTH1R
KLK3	PTHLH
KPNB1	PTHLH
CLU	PON1
JUP	DSG3
ADRA1A	FLNC
F2	SERPINC1
CASP3	DSG3
TAP2	TAP1
PDIA3	TAP1
TAPBP	TAP1
TAPBP	TAP2
PRKCA	PAM
KALRN	PAM
RASSF9	PAM
UHMK1	PAM
PIK3R1	NUP85
VIM	NUP85
PRKACA	NUP85
DYNC1LI1	NUP85
PRKACA	PLIN1
PRPH2	PRPH
PEX10	PEX2
ABCD3	ABCD3
COL6A2	ABCD3
ABCD1	ABCD3
CA2	SLC9A1
PEX19	ABCD3
ABCD2	ABCD3
MAPK1	PPARA
RXRA	PPARA
NCOR2	PPARA
NCOR1	PPARA
DUT	PPARA
MAPK3	PPARA
DAP3	PPARA
NRIP1	PPARA
NCOA1	PPARA
EP300	PPARA
MED1	PPARA
PPARGC1A	PPARA
AKAP13	PPARA
GADD45B	PPARA
GADD45G	PPARA
MED24	PPARA
NR1H3	PPARA
YWHAB	SLC9A1
AIP	PPARA
NRBF2	PPARA
-	PPARA
MECR	PPARA
SCYL2	ZFYVE9
SLC2A4	ACTN4
SLC2A4	GAPDH
SLC2A4	ACOX1
YWHAZ	PDC
PRKACA	PDC
MAP4K4	SLC9A1
CAMK2A	PDC
GPC4	ACP5
GPLD1	ALPP
PIGK	ALPP
PIK3R1	PIK3R1
SLC2A4	PRKAR1A
PDGFRB	PIK3R1
PECAM1	PIK3R1
PFN1	PIK3R1
PTPN11	PIK3R1
-	SLC9A1
SLC2A4	RAB7A
TYK2	PIK3R1
CDKN2A	NCL
CD28	PIK3R1
CD7	PIK3R1
CD4	PIK3R1
GTF2H1	PIK3R1
HRAS	PIK3R1
FES	PIK3R1
SRC	PIK3R1
TESC	SLC9A1
ERBB3	PIK3R1
TGFBR1	PIK3R1
TUBG1	PIK3R1
SH3KBP1	PIK3R1
WAS	PIK3R1
ERAS	PIK3R1
CSF2RA	PIK3R1
ARAF	PIK3R1
SYN1	PIK3R1
RRAS2	PIK3R1
UBTF	CD3EAP
MST1R	PIK3R1
TEK	PIK3R1
TIE1	PIK3R1
SHB	PIK3R1
TYRO3	PIK3R1
SLC9A2	PIK3R1
SHC1	PIK3R1
PTK2	PIK3R1
IRS2	PIK3R1
INPP4A	PIK3R1
TAF1A	CD3EAP
GHR	PIK3R1
MAPK8	PIK3R1
PTK2B	PIK3R1
SLC2A4	CTSD
CRKL	PIK3R1
RAC1	PIK3R1
TUBA1B	PIK3R1
IL1RAP	PIK3R1
ADAM12	PIK3R1
ARHGAP1	PIK3R1
CAPN3	FLNC
CD3E	CD3EAP
PIK3CD	PIK3R1
PIK3CB	PIK3R1
BCAR1	PIK3R1
IRS4	PIK3R1
SOCS1	PIK3R1
CD2AP	PIK3R1
HGS	PIK3R1
GAB1	PIK3R1
TOM1L1	PIK3R1
TRAT1	PIK3R1
POLR1E	CD3EAP
YWHAG	PIK3R1
AGAP2	PIK3R1
VAV3	PIK3R1
GAB2	PIK3R1
PIK3AP1	PIK3R1
GAB3	PIK3R1
CD3E	PIK3R1
-	PIK3R1
PPM1A	PIK3R1
WBP11	PIK3R1
IFNW1	IFNAR1
SLC2A4	ARF3
SLC2A4	HK2
PDGFRB	PIK3CA
PRKCD	PIK3CA
HRAS	PIK3CA
SH3KBP1	PIK3CA
GNAQ	PIK3CA
IRS4	PIK3CA
SLC2A4	SERPINH1
PIK3R3	PIK3CA
IFNA2	IFNAR1
MRAS	PIK3CA
RASD2	PIK3CA
GABRB1	PIK3CA
PRKCA	PFKFB2
PRKAA2	PFKFB2
YWHAZ	PFKFB2
PRKACA	PFKFB2
PRKAA1	PFKFB2
SLC2A4	CFL1
DYNLL1	PFKP
IFNB1	IFNAR1
SLC2A4	STRN3
SLC2A4	MVP
PFKM	PFKL
SLC2A4	PDIA6
SLC2A4	UBA52
SLC2A4	-
SLC2A4	DLD
SLC2A4	BSG
APOA1	PDE1A
SLC2A4	HSP90AA1
PIK3R1	IFNAR1
SLC2A4	UBE2N
SLC2A4	KBTBD10
SLC2A4	ARFIP1
S100A1	PGM1
S100B	PGM1
SLC2A4	LEPRE1
SLC2A4	ACTN1
NAA38	PGD
SLC2A4	MAP1S
SLC2A4	FAR1
PTPN11	IFNAR1
SLC2A4	PSMD7
S100A1	PLN
PPP1R3A	PLN
PRKACA	PLN
SLN	PLN
SLC2A4	ESYT2
PLA2G2A	PLA2G1B
BGN	PLA2G1B
PLAA	PLA2G1B
SLC2A4	C1QTNF5
PTPN6	IFNAR1
SLC2A4	CCDC116
PLA2R1	PLA2G2A
PDGFRB	PLCG1
PECAM1	PLCG1
PDGFRA	PLCG1
FGFR2	PLCG1
ZAP70	PLCG1
GNB2L1	PLCG1
SOS1	PLCG1
CD28	PLCG1
TYK2	IFNAR1
ITK	PLCG1
GTF2H1	PLCG1
SRC	PLCG1
NTRK1	PLCG1
NTRK3	PLCG1
WAS	PLCG1
SYN1	PLCG1
SYK	PLCG1
MST1R	PLCG1
PITPNA	PLCG1
MAPK1	IFNAR1
SLC2A4	FKBP10
SHB	PLCG1
DDR1	PLCG1
PTK2	PLCG1
IRS2	PLCG1
PTPRJ	PLCG1
TUB	PLCG1
SOS2	PLCG1
DGKZ	PLCG1
LCP2	PLCG1
FURIN	FLNC
GNB2L1	IFNAR1
SH3BP2	PLCG1
LAT	PLCG1
PLD2	PLCG1
KHDRBS1	PLCG1
PKN2	PLCG1
PAK1	PLCG1
PICALM	PLCG1
DAB1	PLCG1
BAG3	PLCG1
GAB1	PLCG1
STAT2	IFNAR1
PRKD1	PLCG1
AGAP2	PLCG1
VAV3	PLCG1
SNAP91	PLCG1
GIT1	PLCG1
USO1	PLCG1
LAT2	PLCG1
TNK1	PLCG1
TRPM7	PLCG1
-	PLCG1
PRKACA	IFNAR1
SOCS7	PLCG1
TRPC3	PLCG1
SLC2A4	IDH2
PLG	ENO1
JUP	ZFYVE9
NIT1	ZFYVE9
ZBTB44	SMAD1
TTF2	SMAD1
PHKG1	PHKG1
CRKL	IFNAR1
CTRC	PHKG1
UBE2I	SNIP1
PHKG1	PHKG2
FAF1	SNIP1
PIAS2	SNIP1
HERC1	LAPTM5
TDG	SMAD4
TDG	SNIP1
PITX1	POU1F1
NR1I2	POU1F1
PRMT1	IFNAR1
NR1I3	POU1F1
ZMYM5	SNIP1
SETDB1	SNIP1
RNASE1	RNH1
PLG	SERPINB6
PROC	SERPINB6
F2	SERPINB6
PLAU	SERPINB6
F10	SERPINB6
MYOD1	SMAD4
CANX	IFNGR1
HIPK1	SNIP1
PECAM1	JUP
APC	JUP
PTPRF	JUP
CDH1	JUP
DSC3	JUP
PTPRJ	JUP
CTNND1	JUP
CDH5	JUP
PKD1	JUP
IFNGR2	IFNGR1
TCF7L2	JUP
PTPRK	JUP
PKP2	JUP
PTPN14	JUP
BTRC	JUP
AXIN1	JUP
SVEP1	SMAD9
PLG	PLG
SERPINE1	PLG
PLAT	PLG
IFNG	IFNGR1
PAPPA	PLG
PRNP	PLG
KLK3	PLG
MMP7	PLG
SPARC	PLG
CLEC3B	PLG
THBS1	PLG
PLAU	PLG
C7	PLG
JAK1	IFNGR1
F10	PLG
KNG1	PLG
SERPINF2	PLG
